খুলেনা	Don't open
নিই	Let's take
বসবো	I'll sit down
পার্ক	Park
করেযাবেন	Will do
ভন	Von
সর্বক্ষণ	All the time.
খাচ্ছিস	You're eating
ফারদিন	Fardeen
ভাবেনা	Don't think
পেপারস	Papers
বস্তি	Slums
ফারর্মের	Farmer
ডিম	Eggs
সরম	Saram
বড়িতে	On pills
বিড়িয়ানী	Biryani
শিখেছো	You learned
তুলো	Cotton
ভিডিওতে	In
লোকটাকে	To the man
পিনিক	Pinnick
হুদা	Huda
জঙ্গি	Militants
ভাগাড়ের	The vandal
কোর্ট	Court
ইনাদের	Their
জাফরান	Saffron
সৌদির	Saudi
কুলাংগারদেরও	The Kulangars too
ঘিই	Ghee
জ	J
পেরুলেও	Even in Peru
ভ্যান	Van
শট	Shot
ময়দা	Flour
দাঁড়ায়	It stands
করবনা	Don't
সহকর্মী	Colleague
শারা	Shara
হিল্ল	Hillel
মোড়ের	At the intersection
নির্মাণের	Construction
এক্সাইটেড	Excited
ভাড়াটিয়া	Tenants
গ্লাব্স	Glabs
গ্যাস	Gas
হাজারগুন	A thousand times
পাকিং	Paking
উচ্চবাচ্চ	Higher sentence
নিয়ন্ত্রণে	In control
নিবো	I'll take it
আমাগো	Us
গবেষনার	Research
অসকাল	Askal
পাতা	Sheet
রাখব	I'll keep
আমা‌কে	Who am I?
কমতোনা	Not reduced
টুরিস্ট	Tourists
আইজি	IG
প্রধানমন্তীর	The Chief minister
ভাবির	Sister-in-law
ভাংগা	Vandalism
স্টার্ট	Start
পলটন	Poulton
কর্মকর্তারাই	Officers
কেয়ই	Kei
সাল্লামকে	To Sallam
প্রতিমা	Statue
পাঠা	Send
আমেরিকা	America
হাহাহাহাহাহা	Hahahahahahaha
রেসিপি	Recipes
পরিজন	Family
চিন্তাধারা	Thoughts
কর‍তে	To do
চরকায়	Charkay
পুরলি	Purli
লোভি	Lowey
লাচ্ছা	Lachs
কন্চি	Conchi
জয়বাংলা	Joybangla
সিজারের	Caesar's
এনিওয়ে	Anyway
ঘরের	The house
পাচ্ছ	You get it
ব্রেক	Break
ঘরেই	At home
পাবার	Getting
জন্মেও	Even at birth
দোআ	Dua
ৱাক্ষসের	Of the wax
মিররলেস	Mirrorless
সামরিক	Military
ঐদিকে	On the other hand
আলোকে	In light
হাল	Hal
ডাঙ্কড	Dunked
বাকিগুলা	The rest
ছেলেদেরও	Boys too.
কাকে	To whom
অা‌সত	Honestly.
গায়ের	Skin
যার	Which
ছিঃছিঃ	I'm:
যায়না	It doesn't go
ভাংলো	Broken
দেখবা	See
যাবোই	I'll go
দীর্ঘায়ু	Longevity
ক্যালকুলেট	Calculator
ব‌িচার	B.
তাপমাত্রা	Temperature
বোমা	Bomb
খুটিয়ে	Details
ভাইয়ারা	Brothers
অকৃতজ্ঞ	Ungrateful
দরশক	Darshack
হয়	It is
হার্ভার্ড	Harvard
বাঞ্চোদেরা	Banchodera
অটো	Otto
সারাজীবন	All my life.
বলেছিলেন	He said
ভাগের	Parts
৩৮	- 38
বিকজ	Bikz
গিয়েছিল	It went
খাইতেছেন	Eating
জুম্মার	Jumma
লেবুচুরে	Lemonade
শয়তান	Satan
কাকুর	Kakur
ডান্স	Dance
কোনকিছুই	Anything
সেপ্টেম্বর	September
বেশিক্ষণ	Longer
পুলিশেরা	The police
চিটিং	Cheating
কপিরাইট	Copyright
যেইটা	That's it.
ধালবেন	Dhallah
আসরাফুল	Ashraful
ঝরে	Dropped
ডাকাতকে	To the robber
বড়ই	It's great.
খাইতে	To eat
ডারজেলিং	Darzeling
ঘুশ	Ghush
অতিব	Overb
মনেই	In mind.
লজিক	Logic
জেসন	Jason
পাওরুটি	Bread
বিদ্যানন্দের	Vidyananda's
আাসা	Aasa
অডিশন	Auditions
লৌহজং	Iron age
তয়	Toy
ঠিকনেই	Not right.
অধিকারী	Possessed
ফেলবে	Will
মহান	Great
ইলিশে	In Hilsa
ইয়ানতাই	Yantai
গাজিনি	Gazini
ভুনাখিচুড়ি	Roasting
লোকগুলিও	People too.
রংতামাশা	Colorism
জারজলীগ	The League of Jerks
প্রনাম	Pronam
করবার	To
গিলগিত	Gilgit
সবসময়ই	Always
আলোচিত	Discussed
হোত	Maybe
ছ্যাঁচড়ার	The hive
জাঙ্ক	Junk
বিশ্বয়ের	Of the world
অধিকাংশের	Most of
বক্স	Box
ডেসক্রিপশন	Description
পরলেই	Wearing
মাংলা	Mongla
বিরিয়ানিটা	Biryani
বাটপারদের	Buttpers
জনগণ	People
হবি	Howie
জমিজমা	Land
এক্সিডেন্ট	Accident
আহামরি	Ahamori
যখন	When
চাৎটা	The chat
দেহমিলনের	Body union
শার্টির	Shorty
গাছপালা	Plants
চাফওয়ান	Chafwan
সালের	Of
গোমাংসের	Beef
বিরত	From
হাঃ	Hah.
একসময়	Once upon a time
এতকিছুর	That's all.
ব্যধিই	Disorders
তালে	To the beat
কক্ষনো	Khloe
বতর্মানে	In the present
ঠিকই	That's right.
কিনিনাই	I didn't buy
কম্পানি	Company
এনআর	NR
লুচচামিই	Luchchamii
কচকচে	The slack
দোস্ত	Dude
ইচ্চা	I wish
টাটকা	Fresh
ব‌লি	B. Lee
পল্লীতে	In the countryside
যতবেশি	As much as
দেইখ্যা	Deikhya
কিসের	Of what
মুক্ত	Free
রাকলাম	Raclam
অাপনাদের	Yours
আস্সালামুআলাইকুম	Assalamualaikum
বাকী	Remaining
জুলাই	July
মিথ্যা	Lies
দিয়	Diy
রায়েসর	Rayser
হ‌চ্ছি	Yes, I am
বাহবা	Wow.
টিকেটটা	The ticket
ভিডিওগুলোর	The videos
বেনচ	Banch
রাখো	Keep
মেটে	Mete
উজ্জীবিত	Excited
তত	So much
কর্মি	Karmi
মালের	Mal
খ্যাতি	Reputation
বাসায়	At home
ততই	That's it.
জুস	Juice
পোরাটা	Porata
জংগীর	The militant
অবচতা	Obfuscation
জাতটা	The breed
দিয়েননা	Don't
চলত	Let's go
প্রতিবারের	Every time
ফারুখ	Farrukh
তাঁদের	Them
লক্ষণীয়	Notable
সাথ‌েও	With companionship
তিনবেলা	Three times
চাইছি	I want
সম্মিলিত	Combined
ছাত্রসমাজ	Student community
জড়ালো	Involved
মানলে	If you agree
গাছে	In the tree
সাড়া	Respond
ডিমটিভেট	Demutive
ব্যাবসায়ী	Businessmen
স্টাইলটা	The style
ওষুধ	Medications
আম্মু	Mom
পথশিশুদের	Street children
জনো	Jono
শাহ	Shah
তুরস্ক	Turkey
পেটাকরে	Beating
নারিন্দার	Narinder
ইউটিবার	YouTuber
বোরিং	Boring
তুলছি	I'm picking
ভাউ	Wow
মায়েরেচুদি	Mother's
বয়স	Age
মাড়ি	Gums
আহহ	Ahah
এইটুকু	That's it.
5দিন	- 5 Days
জটিলতা	Complexity
মির্জাফরদের	Mirzafard
সংস্কৃতির	Culture
মদের	Wine
জাগলো	Woke up
হয়নি	Not
কালাটা	Kalata
গেপতার	Geptar
মটু	Motu
কালিঘাট	Kalighat
মনোভাব	Attitude
পদের	Positions
ক্যামেরামেন	Cameramen
মানুুষ	Human beings
বাংলাদেশকে	Bangladesh
ছাড়ার	Leaving
সাধারনত	Usually
তাইফের	Taifer
মিক্স	Mix
৫০	- 50
এগলো	Move on
এগুল	Moving on
উকি	Wiki
সুপার	Super
শুশেদে	Shushede
তারে	On the wire
গিয়েও	Even going
সিটিজেন	Citizen
ইয়ালিদ	Yalid
হয়েছিল	Was
আরদিলেও	Even ardi
বাহরী	Bahri
পারলার	Parler
সবজায়গা	Everywhere
ব্যক্তিগতভাবে	Personally
গুনাহ	Sins
তাদেরও	Theirs too.
নিলা	Nila
গাঁজাখুরি	Cannabis
সেকি	Seki
বারবিকিউ	Barbecue
মিটিয়ে	Resolved
খাবে	Eat
নিউইরকের	New York
গেচে	Gache
যুবতীরা	Young women
চো‌রের	Cho's
শূনতে	In bed
মজুরটির	The labourer
ল্যাপটপের	Laptops
বেকারত্ন	Unemployment
একলা	Alone
জাফ্রন	Jaffron
আশ্বাস	Assurance
জার্নি	Journey
খুন	Murder
হয়ছিল	It was
টুং	Tung
সেইটাইতো	That's it.
মন্তব্যের	Comments
ভালো	Good
জিহ্বা	Tongue
সুদীপা	Sudipa
বাড়িটা	The house
ভাঙচুর	Vandalism
কোততার	Kottar
অসাাধারন	Extraordinary
কেদে	Crying
মানেটা	The meaning
মিস্টি	Misty
ট্রাি	Trie
বীর্য	Semen
তারার	Stars
জুড়ি	Pairing
মেয়োনেজ	Mayonnaise
তরুণের	The young man
চাকরিসূত্রে	By job
লোচ্চা	Locha
নকে	Kn
আমারা	Us
ডিসেম্বরে	In December
চুদি	
টিকিয়া	Tikia
সালাক	Salak
টাইটেল	Title
ওয়াশ	Wash
জানটা	You know what
বরতা	Burta
বালবেটা	Balbeta
মক্কা	Mecca
দিছেন	Given
শুটকিরভরতায়	In the stock of the shoots
পুইটা	Puita
উদ্যোগ	Initiative
দাই	Dai
ছোঁয়া	Touch
ষাট	Sixty
টাইটেলে	In the title
জিন্দা	Zinda
গেড়ে	In
দেওয়া	Given
ইয়ার	Year
সরকারে	In government
হেদায়াত	Guidance
খয়রাত	Khairat
বিলাসী	Luxury
জাতীয়	National
চুপচাপ	Quietly
মাদারচোদেরা	
একবারও	Not once
বাড়িতো	The house
ছাল	Bark
মেধাবীদের	The geniuses
সাবলীলভাবে	Fluently
কোলকাতা	Kolkata
চটিগল্প	A chatty story
বাবাকেই	The Father
ফালাইয়া	Falaiya
ফালায়	Falay
পুরুটা	The thick
অগ্রীম	Advance
সিটারদের	Sitters
বঙ্গপসাগরে	In the Bay of Bengal
বাঁদে	The band
যুবসমাজ	Youth
পাহারা	Guard
পাতলা	Thin
তারও	His too.
আকামের	Akam
অযোগ্য	Ineligible
ফেটে	Bursting
ভাবিরে	I think
করবে	Will
মধ্যেও	In between
শেরপুরে	In Sherpur
সামথিং	Something
রেটিইং	Rating
কেলেঙ্কারি	Scandal
করলেও	Even though
ওয়াইফ	Wife
নিজদের	Themselves.
খোজা	Search
সম্পদের	Resource
বালিতে	In the sand
যারাই	Whoever
ঘুরমু	Turn around
বাড়	Increase
পাড়ে	On the shore
দমে	In suppression
দাঁড়ায়	It stands
করমের	Karam
চটকিয়ে	Sticky
গেলো	Gone
এইদেশে	In this country
হয়ত	May
মতলব	Matlab
ডিপার্টমেন্টে	In the department
দেশটাতো	The country
দিয়েদেন	Given
দেখিয়া	See
রাষ্ট্রদ্রোহ	Treason
রাখবেন	Keep
ফোকাসে	In focus
হুনোমান	Hunoman
সুষ্ঠু	Fair
বুদ্ধিদীপ্ত	Intelligent
পাস্তুরিত	Pasteurized
৫০টকা	- 50
নাসির	Nasir
চন্দননগর	Chandannagar
প্রজন্ম	Generations
বলায়	In saying
